question,prompt,answer
Why did Noah quit his job?,"Why did Noah quit his job?: Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!",I cannot be sure given this transcript
Where are Noah and Madison meeting?,"Where are Noah and Madison meeting?: Noah: When and where are we meeting? :)
Madison: I thought you were busy...?
Noah: Yeah, I WAS. I quit my job. 
Madison: No way! :o :o :o Why? I thought you liked it...?
Noah: Well, I used to, until my boss turned into a complete cock... Long story.",Noah and Madison are meeting at Noah's place
Where are Noah and Madison meeting?,"Where are Noah and Madison meeting?: Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!",I cannot be sure given this transcript
Why did Noah used to like his job before he quit it?,"Why did Noah used to like his job before he quit it?: Noah: When and where are we meeting? :)
Madison: I thought you were busy...?
Noah: Yeah, I WAS. I quit my job. 
Madison: No way! :o :o :o Why? I thought you liked it...?
Noah: Well, I used to, until my boss turned into a complete cock... Long story.","Noah used to like his job, but he quit it"
Why did Noah used to like his job before he quit it?,"Why did Noah used to like his job before he quit it?: Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!",I cannot be sure given this transcript
Are Matt and Agnes going to a Georgian restaurant in Kazimierz on Saturday at 6 pm?,"Are Matt and Agnes going to a Georgian restaurant in Kazimierz on Saturday at 6 pm?: Matt: Do you want to go for date?
Agnes: Wow! You caught me out with this question Matt.
Matt: Why?
Agnes: I simply didn't expect this from you.
Matt: Well, expect the unexpected.
Agnes: Can I think about it?
Matt: What is there to think about?
Agnes: Well, I don't really know you.
Matt: This is the perfect time to get to know eachother
Agnes: Well that's true.
Matt: So let's go to the Georgian restaurant in Kazimierz.
Agnes: Now your convincing me.
Matt: Cool, saturday at 6pm?
Agnes: That's fine.
Matt: I can pick you up on the way to the restaurant.
Agnes: That's really kind of you.
Matt: No problem.
Agnes: See you on saturday.
Matt: Yes, looking forward to it.
Agnes: Me too.",Matt and Agnes are going to a Georgian restaurant in Kazimierz on Saturday at 6 pm
Are Matt and Agnes going to a Georgian restaurant in Kazimierz on Saturday at 6 pm?,"Are Matt and Agnes going to a Georgian restaurant in Kazimierz on Saturday at 6 pm?: Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks",I cannot be sure given this transcript
Will Matt pick Agnes up on the way to the restaurant?,"Will Matt pick Agnes up on the way to the restaurant?: Matt: Do you want to go for date?
Agnes: Wow! You caught me out with this question Matt.
Matt: Why?
Agnes: I simply didn't expect this from you.
Matt: Well, expect the unexpected.
Agnes: Can I think about it?
Matt: What is there to think about?
Agnes: Well, I don't really know you.
Matt: This is the perfect time to get to know eachother
Agnes: Well that's true.
Matt: So let's go to the Georgian restaurant in Kazimierz.
Agnes: Now your convincing me.
Matt: Cool, saturday at 6pm?
Agnes: That's fine.
Matt: I can pick you up on the way to the restaurant.
Agnes: That's really kind of you.
Matt: No problem.
Agnes: See you on saturday.
Matt: Yes, looking forward to it.
Agnes: Me too.",Matt will pick Agnes up on the way to the restaurant.
Will Matt pick Agnes up on the way to the restaurant?,"Will Matt pick Agnes up on the way to the restaurant?: Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks",I cannot be sure given this transcript
Did Demi get promoted?,"Did Demi get promoted?: Flo: OMG, I can't get into the salon until the 6th!
Gina: What? Why?
Flo: They're just too busy. I'm going to be gray! LOL!
Gina: Get you a touch-up kit at Tesco!
Flo: Gonna have to!",I cannot be sure given this transcript
Where will She celebrate it tonight?,"Where will She celebrate it tonight?: Lucas: Hey! How was your day?
Demi: Hey there! 
Demi: It was pretty fine, actually, thank you!
Demi: I just got promoted! :D
Lucas: Whoa! Great news!
Lucas: Congratulations!
Lucas: Such a success has to be celebrated.
Demi: I agree! :D
Demi: Tonight at Death & Co.?
Lucas: Sure!
Lucas: See you there at 10pm?
Demi: Yeah! See you there! :D",She will celebrate it tonight at Death & Co
Where will She celebrate it tonight?,"Where will She celebrate it tonight?: Flo: OMG, I can't get into the salon until the 6th!
Gina: What? Why?
Flo: They're just too busy. I'm going to be gray! LOL!
Gina: Get you a touch-up kit at Tesco!
Flo: Gonna have to!",I cannot be sure given this transcript
What time will She celebrate it?,"What time will She celebrate it?: Flo: OMG, I can't get into the salon until the 6th!
Gina: What? Why?
Flo: They're just too busy. I'm going to be gray! LOL!
Gina: Get you a touch-up kit at Tesco!
Flo: Gonna have to!",I cannot be sure given this transcript
Will Lucas and Demi see each other there at 10?,"Will Lucas and Demi see each other there at 10?: Lucas: Hey! How was your day?
Demi: Hey there! 
Demi: It was pretty fine, actually, thank you!
Demi: I just got promoted! :D
Lucas: Whoa! Great news!
Lucas: Congratulations!
Lucas: Such a success has to be celebrated.
Demi: I agree! :D
Demi: Tonight at Death & Co.?
Lucas: Sure!
Lucas: See you there at 10pm?
Demi: Yeah! See you there! :D",Lucas and Demi will see each other there at 10.
Will Lucas and Demi see each other there at 10?,"Will Lucas and Demi see each other there at 10?: Flo: OMG, I can't get into the salon until the 6th!
Gina: What? Why?
Flo: They're just too busy. I'm going to be gray! LOL!
Gina: Get you a touch-up kit at Tesco!
Flo: Gonna have to!",I cannot be sure given this transcript
Has Mark just shipped the goods?,"Has Mark just shipped the goods?: Mark: I just shipped the goods
Mark: Tomorrow I’ll send you the tracking number
George: Thanks!",Mark has just shipped the goods
Has Mark just shipped the goods?,"Has Mark just shipped the goods?: Jessica: I went to the second hand shop downtown 
Frank: Cool
Raphael: What did you get?
Jessica: Lots of stuff
Jessica: A table, six chairs, a vase, a pile of clothes
Frank: That's really a lot of stuff :-)
Raphael: send us pictures
Jessica: <photo_file>
Jessica: <photo_file>
Raphael: Beautiful table
Raphael: Is it wood?
Jessica: yes, oak 
Raphael: Awesome
Jessica: <photo_file>
Frank: These are the clothes?
Frank: I love the black dress
Jessica: It's absolutely beautiful
Jessica: As soon as I saw it I knew it would be mine
Jessica: I'm so happy with what I bought
Jessica: And the best is I paid only 70 euros for all of that!!",I cannot be sure given this transcript
Will he send George the tracking number of the goods he has shipped to him tomorrow?,"Will he send George the tracking number of the goods he has shipped to him tomorrow?: Mark: I just shipped the goods
Mark: Tomorrow I’ll send you the tracking number
George: Thanks!",Tomorrow he will send George the tracking number of the goods he has shipped to him
Will he send George the tracking number of the goods he has shipped to him tomorrow?,"Will he send George the tracking number of the goods he has shipped to him tomorrow?: Jessica: I went to the second hand shop downtown 
Frank: Cool
Raphael: What did you get?
Jessica: Lots of stuff
Jessica: A table, six chairs, a vase, a pile of clothes
Frank: That's really a lot of stuff :-)
Raphael: send us pictures
Jessica: <photo_file>
Jessica: <photo_file>
Raphael: Beautiful table
Raphael: Is it wood?
Jessica: yes, oak 
Raphael: Awesome
Jessica: <photo_file>
Frank: These are the clothes?
Frank: I love the black dress
Jessica: It's absolutely beautiful
Jessica: As soon as I saw it I knew it would be mine
Jessica: I'm so happy with what I bought
Jessica: And the best is I paid only 70 euros for all of that!!",I cannot be sure given this transcript
Will he do it tomorrow?,"Will he do it tomorrow?: Mark: I just shipped the goods
Mark: Tomorrow I’ll send you the tracking number
George: Thanks!",He will do it tomorrow.
Will he do it tomorrow?,"Will he do it tomorrow?: Jessica: I went to the second hand shop downtown 
Frank: Cool
Raphael: What did you get?
Jessica: Lots of stuff
Jessica: A table, six chairs, a vase, a pile of clothes
Frank: That's really a lot of stuff :-)
Raphael: send us pictures
Jessica: <photo_file>
Jessica: <photo_file>
Raphael: Beautiful table
Raphael: Is it wood?
Jessica: yes, oak 
Raphael: Awesome
Jessica: <photo_file>
Frank: These are the clothes?
Frank: I love the black dress
Jessica: It's absolutely beautiful
Jessica: As soon as I saw it I knew it would be mine
Jessica: I'm so happy with what I bought
Jessica: And the best is I paid only 70 euros for all of that!!",I cannot be sure given this transcript
